129465DB	Xtreme Wheels (USA)
12E00808	International Karate 2000 (Europe)
12F0C196	Catwoman (USA)
12FC1A6E	X-Men - Wolverine's Rage (USA)
1310D9A0	Cairn (World) (v1.4.4) (Batteryless) (GB Compatible)
1312B3F7	V-Rally - Championship Edition (Europe) (En,Fr,De,Es)
13691CEB	Test Drive 6 (Europe) (En,Fr,De,Es,It) (GB Compatible)
136E9D0C	Harry Potter and the Chamber of Secrets (USA, Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,Da)
137D7B45	Dragon Tales - Dragon Wings (Europe)
13AD07B1	Centipede (USA) (GB Compatible)
142B6EFB	Maya the Bee - Garden Adventures (Europe) (En,Fr,De,Es)
14355371	Koudai Guaishou - Dongzuo Pian (Taiwan) (En)
149A2951	Cuthbert Enters the Tombs of Doom (World)
14D1ADBE	Golden Goal (Germany) (En,Fr,De,Es,It,Nl,Sv) (GB Compatible)
14D8CC5D	Flintstones, The - Burgertime in Bedrock (USA)
15430979	Carl Lewis Athletics 2000 (Europe) (En,Fr,De,Es,It,Nl)
154CB547	Phantom Fright (World) (GB Compatible)
154CC020	Fire Ant (World)
15A06686	Snake Xenzia (World) (GB Compatible)
15B44D68	Puzzled (Europe) (En,Fr,De)
160CA990	Harvest Moon 2 GBC (Europe) (SGB Enhanced) (GB Compatible)
160E9E3C	Madden NFL 2001 (USA)
16297B29	Binary Monster 2 (Taiwan) (En)
16650A8B	Tobu Tobu Girl Deluxe (World) (GB Compatible)
16796957	Metal Gear Solid (Europe) (En,Fr,De,Es,It)
17635AD1	Rats! (USA) (En,Es) (GB Compatible)
1766E558	3-D Ultra Pinball - Thrillride (USA) (Rumble Version)
177F0B6E	Midterm Moments (World) (GB Compatible)
17D27FA9	Motocross Maniacs 2 (USA)
17E51443	Saban's Power Rangers - Time Force (USA, Europe)
18216E26	Missile Command (Europe)
1833FB38	Sesame Street - Elmo's 123s (USA) (GB Compatible)
183DBB31	Monsters, Inc. (USA, Europe)
18522BA7	Outta Time (World)
188B06F8	Terrifying 911 (China) (En)
190702B3	Gedou Jian Shen KF (Taiwan) (En)
191D31EC	Dragon Tales - Dragon Wings (USA)
195DBC30	Skycon (World)
1972CBF7	Tootuff (Europe) (En,Fr,De,Es,It,Nl)
19828751	Xtreme Sports (USA)
1A0BF4D7	WDL - World Destruction League - Thunder Tanks (USA) (En,Fr,De)
1A369DD5	Donkey Kong 5 - The Journey of Over Time and Space (Taiwan) (En)
1A719EAD	Thunder Blast Man (Europe) (Sachen)
1AAB415D	Checkmate (Japan) (En,Ja) (GB Compatible)
1AC625DA	Game & Watch Gallery 3 (USA, Europe) (SGB Enhanced) (GB Compatible)
1AECD096	Snail DX, The (World) (GB Compatible)
1AF0B489	Inspector Gadget - Operation Madkactus (USA)
1B0034E8	Gift (Europe)
1B1C6F68	Gedou Jian Shen - Soul Falchion (Taiwan) (En)
1B49D07D	Le Mans 24 Hours (Europe) (En,Fr,De,Es,It)
1B5B9E64	Adulting! Soundtrack (World) (GB Compatible)
1B5BEF4B	Pokemon Diamond (Taiwan) (En)
1B76D115	International Superstar Soccer 99 (Europe) (SGB Enhanced) (GB Compatible)
1BA7D27F	Musical Notes (World)
1BFB531E	Pocket Music (Europe) (En,Fr,De,Es,It)
1BFC7099	2002 Adventure Digimon 7 (Taiwan) (En)
1BFE1BF9	Warp Coin Catastrophe, The (World) (GB Compatible)
1C13DBB0	Chessmaster (USA, Europe) (GB Compatible)
1C644040	Konami Winter Games (Europe)
1CBEA1AA	Three Lions (United Kingdom) (En,Fr,De,Es,It,Nl,Sv) (GB Compatible)
1D00E48D	High Noon (World)
1D871322	Sergio Kidd (World) (En,Es) (v1.995)
1D97B754	Tazz (World)
1DB0840C	Winnie the Pooh - Adventures in the 100 Acre Wood (Europe) (En,Fr,De,Es,It,Nl,Da)
1E64D19C	Ken Griffey Jr.'s Slugfest (USA)
1E71B67E	Dropzone (Europe) (GB Compatible)
1EF9FA6B	Shantae (World) (GBA Enhanced) (Switch)
1F5EC131	Roswell Conspiracies - Aliens, Myths & Legends (USA) (En,Fr,De)
1FC972CC	Barbie - Pet Rescue (USA)
1FD94E67	3D Quasars (World)
20158FBC	Sesame Street - Elmo's ABCs (Europe) (GB Compatible)
203F8727	Konami GB Collection Vol.1 (Europe) (GB Compatible)
20B86F1E	Rampage 2 - Universal Tour (USA, Europe)
20CEE2E8	Project S-11 (USA)
20FE84AF	Exploits of Fingers Malone, The (World)
21524051	31-in-1 Mighty Mix (Australia) (31B-001, Sachen)
2154763C	Elevator Action EX (Europe) (En,Fr,De,Es,It)
21826ADC	Dukes of Hazzard, The - Racing for Home (Europe) (En,Fr,De)
218B54EC	Ripjack (World) (GB Compatible)
21A4DA64	Pro Pool (Europe) (En,Fr,De)
2249B449	RunieStory (World)
22621803	Reservoir Rat (Europe) (En,Fr,De,Es,It) (GB Compatible)
2272BACA	Army Men 2 (USA, Europe) (En,Fr,De)
22802C30	Gopher (World)
22836942	2123 (World)
22952662	Looney Tunes Collector - Martian Revenge! (Europe) (En,Fr,De,Es,It,Nl)
22DEF6F9	Super JetPak DX (World) (GB Compatible)
234E1E9C	X-Men - Mutant Academy (USA, Europe) (Rev 1)
237ECEF9	Soccer Manager (Europe) (En,Fr,De,Es)
24846D65	Hype - The Time Quest (Europe) (En,Fr,De,Es,It,Nl,Sv,Da)
24B76CD0	Hugo - The Evil Mirror (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)
250015D4	Rayman 2 Forever (Europe) (En,Fr,De,Es,It)
253DCBE0	Flooder (World)
2549FDDE	Game Boy Gallery 4 (Australia) (SGB Enhanced) (GB Compatible)
2556B00F	Porklike (World) (v1.0.13)
255DB8BE	Centipede (Europe) (En,Fr,De,Es,It,Nl) (GB Compatible)
255F67DE	Take Your Medicine (World) (En,Pt) (v1.0) (GB Compatible)
257D9201	Tamarindo's Freaking Dinner DX (World)
25BA9231	Grand Theft Auto (Europe) (En,Fr,De,Es,It) (GB Compatible)
260EED04	Trouballs (USA)
2611FA3D	Pro Pool (USA) (En,Fr,De)
2612F8C4	Woody Woodpecker (Europe) (En,Fr,De,Es,It)
2648CE84	Delia - The Traveling Witch (World) (v2.0) (SGB Enhanced) (GB Compatible)
26589B79	Pocket Bowling (Japan) (En) (GB Compatible)
26D3FE7A	Daisu-ki (World) (v1.2)
26F8E1A0	Cannon Fodder (USA) (En,Fr,De,Es,It)
270D45B9	Aardvark (World)
27310900	Little Nicky (USA)
2750FE8E	In the Dark 2 (World) (v1.5)
27632F4F	Jimmy White's Cueball (Europe)
276ECAAE	Dinosaur (USA)
27A53965	Hole in One Golf (USA) (Rumble Version) (SGB Enhanced) (GB Compatible)
27B87354	Gods of the Universe (World)
280937CC	Cat Boy's Stellar Journey (World) (GB Compatible)
28114B89	Where's My Cake (World) (GB Compatible)
283742E4	Dracula - Crazy Vampire (USA)
28453467	F1 World Grand Prix II for Game Boy Color (Japan) (En,Ja)
287AFC75	Hauntsfield (World) (GB Compatible)
28A3AB3A	Street Fighter Alpha - Warriors' Dreams (Europe)
28F7D5E3	Atlantis - The Lost Empire (Europe) (En,Es,It)
29320841	Star Hunt (World) (GB Compatible)
295B3646	Powerpuff Girls, The - Paint the Townsville Green (USA) (Rev 1)
2988FC78	Tomb Raider (USA, Europe) (En,Fr,De,Es,It)
29BB9238	Unearthed Zero (World) (2021 Jam Version) (GB Compatible)
2A073369	Godzilla - The Series (Europe) (En,Fr,De) (GB Compatible)
2A86D386	Auto Zone (World)
2B2D9868	Space Invasion (Europe)
2C055EF9	Octopus Stressus (World) (v1.1) (GB Compatible)
2C0D43A9	Spider-Man 3 - Movie Version (USA)
2C27C61F	Tony Hawk's Pro Skater 2 (USA, Europe)
2C3D5CBF	What's Updog (World) (GB Compatible)
2C4C2A5F	Sesame Street - The Adventures of Elmo in Grouchland (USA) (GB Compatible)
2C92AD12	Mask of Zorro, The (USA)
2CF48188	Sabrina - The Animated Series - Spooked! (USA, Europe)
2D12223C	Taiyaki Fabulous Museum of Fish (World) (v1.4.2) (SGB Enhanced) (GB Compatible)
2D2F9C2B	Blinky's Revenge (World)
2D9B59BF	Gunther the Monster and His Friends (World)
2DC3FDAE	Suicide Run (World) (GB Compatible)
2DCD0A0A	Force 21 (USA) (En,Fr,De)
2DD5907F	Blade (USA, Europe)
2DF6E230	Dave Mirra Freestyle BMX (USA, Europe)
2E1CA159	To The Stars (World) (GB Compatible)
2E61C391	Gobs of Games (USA) (En,Fr,De)
2E65DAAF	Earthworm Jim - Menace 2 the Galaxy (USA, Europe) (GB Compatible)
2E944775	Rox (USA, Europe) (GB Compatible)
2ED2487C	GPC Rally (World) (v1.1)
2EDC4684	20 Second Platformer, A (World) (v1.1) (GB Compatible)
2F7AEF51	Dracula - Crazy Vampire (Europe) (En,Fr,De,Es,It)
2F813033	G-ZERO World GP (World)
2F8AC081	Capcom Fight 2003 (Hong Kong) (En)
2F91E17C	Blaster Master - Enemy Below (USA, Europe) (SGB Enhanced) (GB Compatible)
2F9F19DE	Titus the Fox (Europe) (GB Compatible)
2FCECB70	BattleTanx (Europe) (En,Fr,De)
2FF706C0	Harry Potter II (USA)
3001ED1B	Pogo Pete (World)
300E03BA	GameShark MX (USA) (v1.02)
30204C4E	Cuthbert in the Cooler (World)
304DF19A	Pact, The (World)
308A4CCB	Games Frenzy (Europe) (En,Fr,De)
30E1E567	Power Quest (Europe) (En-US,En-GB,Fr,De,Es,It) (SGB Enhanced) (GB Compatible)
3199F65F	Alice in Wonderland (USA, Australia)
31A6B0FF	Take Your Medicine (World) (En,Pt) (v1.1) (GB Compatible)
31B6E3FA	Agent B (World) (GB Compatible)
3204B92C	Jim Henson's Muppets (Europe) (En,Fr,De,Es,It,Nl,Sv) (GB Compatible)
3207B7D9	Hang Time Basketball (Europe)
327EC81F	International Track & Field (Europe) (En,Fr,De,It) (SGB Enhanced) (GB Compatible)
32C87958	E.T. - The Extra-Terrestrial and the Cosmic Garden (USA)
32CAEF11	Robopon - Sun Version (USA) (SGB Enhanced) (GB Compatible)
32E2EA48	Ghost of the Arcade (World) (v1.3) (GB Compatible)
32EA3E07	OrmBlok (World)
32F24248	Laser Squad Alter (World)
33093C28	Super Donkey Kong 5 (Taiwan) (En) (Rumble Version) (Alt)
3358E30A	Pokemon - Crystal Version (USA, Europe) (Rev 1)
3374918B	Bubble Trouble (World)
337E5DD3	Top Gear Rally (Europe) (Rumble Version)
338E2CDA	Yu-Gi-Oh! - Dark Duel Stories (Europe)
3390B056	Inspector Gadget - Operation Madkactus (Europe) (En,Fr,De,Es,It,Nl)
34411753	Army Men (USA, Europe) (En,Fr,De)
345E20A4	Ready 2 Rumble Boxing (USA) (Rumble Version)
346561FB	VOX (World)
3485761A	O'Leary Manager 2000 (Europe) (En,Fr,De,Es,It,Nl,Ca)
3485EF86	Pac-Man - Special Color Edition (USA) (SGB Enhanced) (GB Compatible)
34C1A63A	Langrsr II (Taiwan) (En)
34C8A4A5	Super Bombliss DX (Japan) (En) (SGB Enhanced) (GB Compatible)
34E2B3BA	Spider-Man (USA, Europe)
351BA5EA	Caesars Palace II (USA, Europe)
35323432	Rugrats en Paris - La pelicula (Spain) (En,Es)
35AD9B5A	From Below Pocket (World)
35D3F216	Walfie's Nonograms (World) (v1.1.0) (GB Compatible)
35D6DDCC	Mary-Kate and Ashley - Winners Circle (USA, Europe)
35EC5FB2	Dragon Warrior Monsters 2 - Tara's Adventure (USA) (SGB Enhanced) (GB Compatible)
3611D0D8	Tasmanian Devil - Munching Madness (USA) (En,Fr,De,Es,It) (GB Compatible)
361B627F	GB-Wordyl - Latin (World) (v1.0.6) (SGB Enhanced) (GB Compatible)
3623EBB6	R-Type DX (Japan) (En) (GB Compatible)
362A84BA	Mountain Climber (World) (En,Es) (GB Compatible)
364F9CCD	Little Mermaid II, The - Pinball Frenzy (USA) (En,Fr,De,Es,It) (Rumble Version)
36536324	Thunderbirds (Europe) (En,Fr,De,Es,It)
367C802D	RunieStory (World) (Alt)
