SPRITERS	index	15 assets
SPRITERS	457282	Sound Effects - HOME Menu - 3DS - The Sounds Resource	1 files
SPRITERS	443934	Attention Sounds - HOME Menu - 3DS - The Sounds Resource	1 files
SPRITERS	443936	Graffiti - HOME Menu - 3DS - The Sounds Resource	1 files
SPRITERS	443932	Menu - HOME Menu - 3DS - The Sounds Resource	1 files
SPRITERS	443935	Miscellaneous - HOME Menu - 3DS - The Sounds Resource	1 files
SPRITERS	443933	Parakeet - HOME Menu - 3DS - The Sounds Resource	1 files
SPRITERS	443937	Menu - HOME Menu - 3DS - The Sounds Resource	1 files
SPRITERS	443938	Parakeet - HOME Menu - 3DS - The Sounds Resource	1 files
SPRITERS	443939	Player - HOME Menu - 3DS - The Sounds Resource	1 files
SPRITERS	470004	Sound Effects - HOME Menu - 3DS - The Sounds Resource	1 files
SPRITERS	470007	Sound Effects - HOME Menu - 3DS - The Sounds Resource	1 files
SPRITERS	470005	Sound Effects - HOME Menu - 3DS - The Sounds Resource	1 files
SPRITERS	470046	Sound Effects - HOME Menu - 3DS - The Sounds Resource	1 files
SPRITERS	470006	Sound Effects - HOME Menu - 3DS - The Sounds Resource	1 files
SPRITERS	478162	HOME Menu Banners - HOME Menu - 3DS - The Sounds Resource	1 files
KHINSIDER INDEX FAILED	nintendo-3ds-sound-sound-effects-3ds-gamerip-2011	HTTP Error 403: Forbidden
KHINSIDER INDEX FAILED	nintendo-switch-sound-effects	HTTP Error 403: Forbidden
NSO	SEGA Genesis™ – Nintendo Switch Online	iconUrl
NSO	SEGA Genesis™ – Nintendo Switch Online	bannerUrl
NSO	Game Boy™ – Nintendo Switch Online	iconUrl
NSO	Game Boy™ – Nintendo Switch Online	bannerUrl
LOGO	Nintendo_DS_Logo.svg
LOGO	Nintendo_3DS_logo.svg
LOGO MISSING	Game_Boy_logo.svg
LOGO	Game_Boy_Color_logo.svg
LOGO	Game_Boy_Advance_logo.svg
LOGO	Nintendo_Switch_logo.svg
